"filename", "language", "Java", "comment", "blank", "total"
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_6/StoreManager.java", "Java", 0, 0, 1, 1
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_7/Category.java", "Java", 19, 0, 6, 25
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_7/Member.java", "Java", 88, 0, 8, 96
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_7/Product.java", "Java", 37, 0, 9, 46
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_7/SEStore.java", "Java", 281, 33, 25, 339
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_7/StoreManager.java", "Java", 174, 8, 30, 212
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_7/UserManager.java", "Java", 224, 16, 26, 266
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_8/Category.java", "Java", 19, 0, 6, 25
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_8/Member.java", "Java", 88, 0, 8, 96
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_8/Product.java", "Java", 52, 0, 15, 67
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_8/SEStore.java", "Java", 345, 35, 33, 413
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_8/StoreManager.java", "Java", 186, 8, 30, 224
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_8/UserManager.java", "Java", 224, 16, 26, 266
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_9/Cart.java", "Java", 34, 0, 5, 39
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_9/Category.java", "Java", 19, 0, 6, 25
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_9/Member.java", "Java", 88, 0, 8, 96
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_9/Product.java", "Java", 52, 0, 15, 67
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_9/SEStore.java", "Java", 472, 37, 54, 563
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_9/StoreManager.java", "Java", 249, 80, 54, 383
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_9/UserManager.java", "Java", 224, 16, 26, 266
"Total", "-", 2875, 249, 391, 3515
