"filename", "language", "Java", "comment", "blank", "total"
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_1/Product.java", "Java", 31, 0, 7, 38
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_1/ProductManager.java", "Java", 36, 2, 5, 43
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_1/SEStore.java", "Java", 39, 7, 4, 50
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_1/SEStore2.java", "Java", 26, 8, 5, 39
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_2/Category.java", "Java", 19, 0, 6, 25
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_2/Product.java", "Java", 37, 0, 9, 46
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_2/SEStore.java", "Java", 70, 15, 8, 93
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_2/StoreManager.java", "Java", 80, 4, 9, 93
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_3/Category.java", "Java", 19, 0, 6, 25
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_3/Product.java", "Java", 37, 0, 9, 46
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_3/SEStore.java", "Java", 70, 15, 8, 93
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_3/StoreManager.java", "Java", 80, 4, 9, 93
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_4/Category.java", "Java", 19, 0, 6, 25
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_4/Member.java", "Java", 49, 0, 5, 54
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_4/Product.java", "Java", 37, 0, 9, 46
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_4/SEStore.java", "Java", 124, 19, 14, 157
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_4/StoreManager.java", "Java", 80, 4, 9, 93
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_4/UserManager.java", "Java", 125, 13, 15, 153
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_5/Category.java", "Java", 19, 0, 6, 25
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_5/Member.java", "Java", 80, 0, 8, 88
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_5/Product.java", "Java", 37, 0, 9, 46
"/Users/wanasartnianthasat/Documents/GitHub/Individual-lab/Individual Lab/SE_STORE_5/SEStore.java", "Java", 194, 30, 21, 245
